Provider_N,Location,County,Address,City,State,Zip,MailingAdd,MailingCit,MailingSta,MailingZip,Email,Phone,LicenseCap,Operation_,Operatio_1,Hours_Open,Hours_Clos,Infant_0_T,Toddler_13,Preschool_,Pre_K_Serv,School_Age,Ages_Other,Accepts_Ch,Has_Evenin,Has_Drop_I,Has_School,Has_Transp,Has_Tran_1,Has_Cacfp,Accreditat,Program_Ty,Provider_T,Exemption_,Available_,Funded_Pre,QR_Partici,QR_Rated,QR_Rating,Region,addrstatus,addrtype,addrlocat
CCLC-28747,In His Arms Educational Center,Chatham,7816 Hwy 80 East,Savannah,GA,"31410",1511 Wathour Road,Savannah,GA,"31410",lipski@aol.com,(912) 897-6826,"103",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,SE,OK,ROOFTOP,"32.0321846,-80.9656716"
CCLC-28408,1st Creative Learning Academy,Gwinnett,5771 Lawrenceville Hwy,Tucker,GA,"30084",5771 Lawrenceville Hwy,Tucker,GA,"30084",firstcreative@att.net,(770) 935-6500,"92",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"1",NE,OK,ROOFTOP,"33.8773661,-84.16937569999999"
CCLC-22766,1st Creative Learning Academy #2,Gwinnett,2527 Old Rockbridge Rd.,Norcross,GA,"30071",2527 Old Rockbridge Rd.,Norcross,GA,"30071",jnjlearning@bellsouth.net,(770) 448-1066,"56",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",NE,OK,ROOFTOP,"33.928817,-84.22720029999999"
CCLC-37311,1st Creative Learning Academy #3,Gwinnett,635 Exchange Place,Lilburn,GA,"30047",635 Exchange Place,Lilburn,GA,"30047",1stcreative@att.net,(678) 404-5573,"143",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,19:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,FALSE,NA,NE,OK,ROOFTOP,"33.9012236,-84.14347240000001"
DOD-37488,1st Division Child Development Center,Chattahoochee,300 1st Division Rd Bldg 1051,Fort Benning,GA,31905-6627,300 1st Division Rd Bldg 1051,Fort Benning,GA,31905-6627,casandra.a.hill.naf@mail.mil,(706) 689-8698,NA,JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NAEYC,Department of Defense,DOD,NA,"22","22",FALSE,FALSE,NA,SW,OK,RANGE_INTERPOLATED,"32.3626744,-84.95426929999999"
CCLC-19930,5 Star Childcare & Learning Center,Gwinnett,4492 Lilburn Industrial Way South,Lilburn,GA,"30047",220 Ridge Bluff Lane,Suwanee,GA,"30024",5starchildcare@gmail.com,(770) 806-9212,"110",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"2",NE,OK,ROOFTOP,"33.8902453,-84.1245067"
CCLC-937,A Child's World - Columbia Rd.,Columbia,4204 Columbia Rd.,Martinez,GA,"30907",4416 COLUMBIA RD STE 104,AUGUSTA,GA,"30907",bwarren@acwchildcare.com,(706) 860-0059,"181",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,FALSE,NA,CE,OK,ROOFTOP,"33.507465,-82.116286"
CCLC-37467,A Child's World - Windsor Spring Rd.,Richmond,3549 Windsor Spring Rd.,Hephzibah,GA,"30815",4416 COLUMBIA RD STE 104,AUGUSTA,GA,"30907",kmcelveen@acwchildcare.com,(706) 796-3505,"108",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,CE,OK,RANGE_INTERPOLATED,"33.3803632,-82.0693584"
CCLC-39764,A Gift From Heaven Academy,Fulton,4195 Welcome All Rd SW,Atlanta,GA,"30349",4195 Welcome All Rd SW,Atlanta,GA,"30349",keshaward@gmail.com,(404) 205-5015,"146",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.6405508,-84.5245536"
CCLC-1751,A Kid's World,Walton,4533 Old Hwy 138,Loganville,GA,"30052",4533 Old Hwy 138,Loganville,GA,"30052",akidsworld@comcast.net,(770) 786-1587,"206",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.7422797,-83.8553373"
CCLC-37985,A Smart Start Learning Academy,Fulton,5950 Koweta Road,Union City,GA,"30291",5950 Koweta Road,Union City,GA,"30291",bnbla@bellsouth.net,(770) 306-1595,"150",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.6078604,-84.5839132"
CCLC-47014,A Step Above Learning Center,Gwinnett,4220 Jimmy Carter Blvd,Norcross,GA,"30093",4220 Jimmy Carter Blvd,Norcross,GA,"30093",astepabove2017@gmail.com,(770) 820-1419,"116",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,07:00:00,19:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NE,OK,ROOFTOP,"33.8726805,-84.188389"
CCLC-49136,A Unique Preparatory Learning Academy,DeKalb,699 Village Square Dr.,Stone Mountain,GA,"30083",699 Village Square Dr.,Stone Mountain,GA,"30083",simone.miller@yahoo.com,(404) 292-5252,"166",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"1",CE,OK,ROOFTOP,"33.79705,-84.211777"
CCLC-35507,A World of Knowledge Preschool & Academy,Fulton,2769 Donald Lee Hollowell Pkwy NW  Suite C,Atlanta,GA,"30318",2769 Donald Lee Hollowell Pkwy NW  Suite C,Atlanta,GA,"30318",lstephens72@yahoo.com,(404) 794-4024,"56",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.7789418,-84.4781701"
CCLC-1754,A. J. Ward Montessori Preschool  Inc.,Chatham,7501 Waters Avenue,Savannah,GA,"31406",7501 Waters Avenue,Savannah,GA,"31406",ajwmontessori@bellsouth.net,(912) 355-1900,"49",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"3",SE,OK,ROOFTOP,"32.0049781,-81.1018776"
CCLC-31859,A.A.I.M.S. Montessori School,Gwinnett,3665 Swiftwater Park Drive  Bldg. 1A,Suwanee,GA,"30024",3665 Swiftwater Park Drive  Bldg. 1A,Suwanee,GA,"30024",soldier_mini@yahoo.com,(678) 546-7700,"166",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,07:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,GAC,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",NE,OK,ROOFTOP,"34.0369712,-84.0835863"
CCLC-35766,A+ Preparatory Learning Academy,Henry,100 Dudley Dr.,Ellenwood,GA,"30294",100 Dudley Dr.,Ellenwood,GA,"30294",friendapreparatory@att.net,(770) 389-0173,"216",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,19:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SW,OK,ROOFTOP,"33.6186697,-84.2400221"
CCLC-45979,A1-Supreme Academy,Clayton,725 King Road,Riverdale,GA,"30274",725 King Road,Riverdale,GA,"30274",evonnescotton@bellsouth.net,(770) 996-9977,"122",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"1",CW,OK,ROOFTOP,"33.57922569999999,-84.413635"
CCLC-1762,ABC Child Care Center #1,Chatham,1106 E. 48th Street,Savannah,GA,"31404",105 Red Gate Farms  Trail,Savannah,GA,"31405",1abcedu@bellsouth.net,(912) 355-1442,"65",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"3",SE,OK,ROOFTOP,"32.0444947,-81.0863095"
CCLC-1759,ABC Childcare and Learning Center  LLC,Newton,2155 Hwy 212 N,Covington,GA,"30016",2155 Hwy 212 N,Covington,GA,"30016",abcchildcare6@bellsouth.net,(770) 385-9057,"98",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.4622998,-83.9036546"
CCLC-30191,ABC Early Learning Academy @ Eagle's Landing,Henry,110 N. Park Trail,Stockbridge,GA,"30281",110 N. Park Trail,Stockbridge,GA,"30281",victoriaw@abcearlylearning.com,(770) 389-9393,"162",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:30:00,20:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,FALSE,NA,SW,OK,ROOFTOP,"33.5135629,-84.23137849999999"
CCLC-1760,ABC Early Learning Academy  Inc.,Fulton,420 Ponce de Leon Avenue,Atlanta,GA,"30308",420 Ponce de Leon Avenue,Atlanta,GA,"30308",victoriaw@abcearlylearning.com,(404) 541-0700,"87",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:30:00,19:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,Child Care Learning Center,CCLC,NA,"44","44",FALSE,FALSE,NA,NW,OK,ROOFTOP,"33.7732664,-84.3735494"
